feature,importance
V14,0.17544874660785423
V10,0.12281004495192532
V12,0.11287726962073993
V4,0.10625564890717712
V17,0.0930261827293649
V16,0.05644886933503487
V11,0.05527902140461779
V3,0.0546651483449074
V2,0.027546448110182604
V7,0.026198297821493088
V9,0.016997466688735148
V21,0.015783405907713127
V27,0.012717660689551191
V19,0.01159599806706101
V18,0.011371312071283616
V20,0.00941133040928938
V8,0.009266217610108596
V5,0.008490399984205685
V13,0.007938289237978896
V1,0.007892595974753395
Amount,0.0074518063979349125
V15,0.00744257941602283
V6,0.00707957459343869
V26,0.007036911900730978
V22,0.005827447397971183
V28,0.005478789194497302
V24,0.004773630862997042
V23,0.004545024631929966
Time,0.004314920131330733
V25,0.004028960999169192
